Set,Question — English,Question — Bengali,Question — Hindi,Four Choices (English / বাংলা / हिन्दी),Correct Answer,RKMM Verification URL
1,Where was Sri Ramakrishna born?,শ্রী রামকৃষ্ণ কোথায় জন্মগ্রহণ করেছিলেন?,श्रीरामकृष्ण का जन्म कहाँ हुआ था?,"A. Kamarpukur / কামারপুকুর / कामारपुकुर
B. Jayrambati / জয়রামবাটী / जयरामबाटी
C. Dakshineswar / দক্ষিণেশ্বর / दक्षिणेश्वर
D. Cossipore / কাশীপুর / काशीपुर",A — Kamarpukur / কামারপুকুর / कामारपुकुर,https://englishbooks.rkmm.org/s/lsr/m/sri-ramakrishna-the-great-master#:~:text=Kamarpukur
1,What was Sri Ramakrishna's given name in childhood?,শ্রী রামকৃষ্ণের বাল্যকালের দেওয়া নাম কী ছিল?,श्रीरामकृष्ण का बचपन में दिया गया नाम क्या था?,"A. Gadadhar / গদাধর / गदाधर
B. Rakhal / রাখাল / राखाल
C. Narendranath / নরেন্দ্রনাথ / नरेन्द्रनाथ
D. Ramlal / রামলাল / रामलाल",A — Gadadhar / গদাধর / गदाधर,https://englishbooks.rkmm.org/s/lsr/m/sri-ramakrishna-the-great-master#:~:text=Gadadhar
1,What was Swami Vivekananda's pre-monastic name?,স্বামী বিবেকানন্দের সন্ন্যাস-পূর্ব নাম কী ছিল?,स्वामी विवेकानंद का संन्यास-पूर्व नाम क्या था?,"A. Narendranath Datta / নরেন্দ্রনাথ দত্ত / नरेन्द्रनाथ दत्त
B. Mahendranath Gupta / মহেন্দ্রনাথ গুপ্ত / महेन्द्रनाथ गुप्त
C. Rakhal Chandra Ghosh / রাখালচন্দ্র ঘোষ / राखालचन्द्र घोष
D. Sarat Chandra Chakravarty / শরৎচন্দ্র চক্রবর্তী / शरतचन्द्र चक्रवर्ती",A — Narendranath Datta / নরেন্দ্রনাথ দত্ত / नरेन्द्रनाथ दत्त,https://englishbooks.rkmm.org/s/lsv/m/life-of-swami-vivekananda-his-eastern-and-western-disciples#:~:text=Narendranath
1,With what words did Swami Vivekananda begin his first address at the World's Parliament of Religions?,বিশ্বধর্ম মহাসভায় স্বামী বিবেকানন্দ তাঁর প্রথম ভাষণ কোন কথাগুলি দিয়ে শুরু করেছিলেন?,विश्व धर्म संसद में स्वामी विवेकानंद ने अपना पहला भाषण किन शब्दों से शुरू किया?,"A. Sisters and Brothers of America / আমেরিকার ভগিনী ও ভ্রাতৃবৃন্দ / अमेरिका की बहनों और भाइयों
B. Ladies and Gentlemen / মহিলাগণ ও মহোদয়গণ / देवियो और सज्जनो
C. Friends of India / ভারতের বন্ধুগণ / भारत के मित्रों
D. Brothers and Sisters of the East / প্রাচ্যের ভ্রাতা ও ভগিনীগণ / पूर्व के भाइयों और बहनों",A — Sisters and Brothers of America / আমেরিকার ভগিনী ও ভ্রাতৃবৃন্দ / अमेरिका की बहनों और भाइयों,https://englishbooks.rkmm.org/s/tsv/m/the-complete-works-of-swami-vivekananda/a/1-1-1-response-to-welcome#:~:text=Sisters%20and%20Brothers%20of%20America
1,Where was Holy Mother Sri Sarada Devi born?,শ্রীশ্রীমা সারদা দেবীর জন্ম কোথায় হয়েছিল?,श्रीशारदा देवी का जन्म कहाँ हुआ था?,"A. Jayrambati / জয়রামবাটী / जयरामबाटी
B. Kamarpukur / কামারপুকুর / कामारपुकुर
C. Dakshineswar / দক্ষিণেশ্বর / दक्षिणेश्वर
D. Baghbazar / বাগবাজার / बागबाज़ार",A — Jayrambati / জয়রামবাটী / जयरामबाटी,https://englishbooks.rkmm.org/s/lsd/m/holy-mother-sri-sarada-devi#:~:text=Jayrambati
2,Who recorded Sri Ramakrishna's conversations under the pen name 'M.'?,'ম.' ছদ্মনামে শ্রী রামকৃষ্ণের কথোপকথন কে লিপিবদ্ধ করেছিলেন?,'एम.' नाम से श्रीरामकृष्ण के संवादों को किसने लिपिबद्ध किया?,"A. Mahendranath Gupta / মহেন্দ্রনাথ গুপ্ত / महेन्द्रनाथ गुप्त
B. Girish Chandra Ghosh / গিরিশচন্দ্র ঘোষ / गिरीशचन्द्र घोष
C. Mahendranath Datta / মহেন্দ্রনাথ দত্ত / महेन्द्रनाथ दत्त
D. Ramchandra Datta / রামচন্দ্র দত্ত / रामचन्द्र दत्त",A — Mahendranath Gupta / মহেন্দ্রনাথ গুপ্ত / महेन्द्रनाथ गुप्त,https://englishbooks.rkmm.org/s/tsr/m/gospel-of-sri-ramakrishna#:~:text=Mahendranath%20Gupta
2,Which form of the Divine Mother was worshipped in the temple at Dakshineswar where Sri Ramakrishna served?,"দক্ষিণেশ্বরের যে মন্দিরে শ্রী রামকৃষ্ণ সেবা করতেন, সেখানে জগন্মাতার কোন রূপের পূজা হতো?","दक्षिणेश्वर के जिस मंदिर में श्रीरामकृष्ण सेवा करते थे, वहाँ जगन्माता के किस रूप की पूजा होती थी?","A. Kali (Bhavatarini) / কালী (ভবতারিণী) / काली (भवतारिणी)
B. Lakshmi / লক্ষ্মী / लक्ष्मी
C. Saraswati / সরস্বতী / सरस्वती
D. Annapurna / অন্নপূর্ণা / अन्नपूर्णा",A — Kali (Bhavatarini) / কালী (ভবতারিণী) / काली (भवतारिणी),https://englishbooks.rkmm.org/s/lsr/m/sri-ramakrishna-the-great-master#:~:text=Bhavatarini
2,In which year did Swami Vivekananda deliver his first address at the World's Parliament of Religions?,স্বামী বিবেকানন্দ কোন সালে বিশ্বধর্ম মহাসভায় তাঁর প্রথম ভাষণ দিয়েছিলেন?,स्वामी विवेकानंद ने विश्व धर्म संसद में अपना पहला भाषण किस वर्ष दिया?,"A. 1893 / ১৮৯৩ / 1893
B. 1886 / ১৮৮৬ / 1886
C. 1897 / ১৮৯৭ / 1897
D. 1900 / ১৯০০ / 1900",A — 1893 / ১৮৯৩ / 1893,https://englishbooks.rkmm.org/s/tsv/m/the-complete-works-of-swami-vivekananda/a/1-1-1-response-to-welcome#:~:text=1893
2,"At the southern tip of India, where did Swami Vivekananda meditate before going to the West?",পাশ্চাত্যে যাওয়ার আগে ভারতের দক্ষিণ প্রান্তে স্বামী বিবেকানন্দ কোথায় ধ্যান করেছিলেন?,पश्चिम जाने से पहले भारत के दक्षिणी छोर पर स्वामी विवेकानंद ने कहाँ ध्यान किया था?,"A. Kanyakumari (Cape Comorin) / কন্যাকুমারী (কেপ কমোরিন) / कन्याकुमारी (केप कोमोरिन)
B. Varanasi / বারাণসী / वाराणसी
C. Almora / আলমোড়া / अल्मोड़ा
D. Puri / পুরী / पुरी",A — Kanyakumari (Cape Comorin) / কন্যাকুমারী / कन्याकुमारी,https://englishbooks.rkmm.org/s/lsv/m/life-of-swami-vivekananda-his-eastern-and-western-disciples#:~:text=Cape%20Comorin
2,What was the name of Holy Mother Sri Sarada Devi's mother?,শ্রীশ্রীমা সারদা দেবীর মাতার নাম কী ছিল?,श्रीशारदा देवी की माता का नाम क्या था?,"A. Shyamasundari Devi / শ্যামাসুন্দরী দেবী / श्यामासुन्दरी देवी
B. Chandramani Devi / চন্দ্রমণি দেবী / चन्द्रमणि देवी
C. Bhuvaneshwari Devi / ভুবনেশ্বরী দেবী / भुवनेश्वरी देवी
D. Yogin-Ma / যোগীন-মা / योगिन-माँ",A — Shyamasundari Devi / শ্যামাসুন্দরী দেবী / श्यामासुन्दरी देवी,https://englishbooks.rkmm.org/s/lsd/m/holy-mother-sri-sarada-devi#:~:text=Shyamasundari
3,"Rakhal Chandra, a young disciple of Sri Ramakrishna, later became which monk?",শ্রী রামকৃষ্ণের তরুণ শিষ্য রাখালচন্দ্র পরে কোন সন্ন্যাসী হন?,श्रीरामकृष्ण के युवा शिष्य राखालचन्द्र बाद में कौन-से संन्यासी बने?,"A. Swami Brahmananda / স্বামী ব্রহ্মানন্দ / स्वामी ब्रह्मानंद
B. Swami Saradananda / স্বামী সারদানন্দ / स्वामी सारदानंद
C. Swami Premananda / স্বামী প্রেমানন্দ / स्वामी प्रेमानंद
D. Swami Turiyananda / স্বামী তুরীয়ানন্দ / स्वामी तुरीयानंद",A — Swami Brahmananda / স্বামী ব্রহ্মানন্দ / स्वामी ब्रह्मानंद,https://englishbooks.rkmm.org/s/tsr/m/gospel-of-sri-ramakrishna#:~:text=Rakhal
3,Who was Totapuri in Sri Ramakrishna's spiritual life?,শ্রী রামকৃষ্ণের সাধনজীবনে তোতাপুরী কে ছিলেন?,श्रीरामकृष्ण के साधना-जीवन में तोतापुरी कौन थे?,"A. An Advaita Vedanta monk who guided him in nondual realization / অদ্বৈত বেদান্তের সন্ন্যাসী, যিনি তাঁকে অদ্বৈত উপলব্ধিতে পথ দেখান / अद्वैत वेदान्त के संन्यासी जिन्होंने उन्हें अद्वैत अनुभूति में मार्गदर्शन दिया
B. A Brahmo Samaj leader / ব্রাহ্মসমাজের নেতা / ब्रह्म समाज के नेता
C. A Vaishnava householder devotee / বৈষ্ণব গৃহীভক্ত / वैष्णव गृहस्थ भक्त
D. A priest of the Kali temple / কালীমন্দিরের পুরোহিত / काली मंदिर के पुजारी",A — Advaita Vedanta monk and teacher of nondual realization / অদ্বৈত বেদান্তের সন্ন্যাসী ও গুরু / अद्वैत वेदान्त के संन्यासी और गुरु,https://englishbooks.rkmm.org/s/lsr/m/sri-ramakrishna-the-great-master#:~:text=Totapuri
3,Which woman later became Sister Nivedita?,কোন মহিলা পরে সিস্টার নিবেদিতা নামে পরিচিত হন?,कौन-सी महिला बाद में सिस्टर निवेदिता के नाम से प्रसिद्ध हुईं?,"A. Margaret Noble / মার্গারেট নোবেল / मार्गरेट नोबल
B. Josephine MacLeod / জোসেফিন ম্যাকলাউড / जोसेफिन मैक्लॉड
C. Sara Bull / সারা বুল / सारा बुल
D. Sister Christine / সিস্টার ক্রিস্টিন / सिस्टर क्रिस्टीन",A — Margaret Noble / মার্গারেট নোবেল / मार्गरेट नोबल,https://englishbooks.rkmm.org/s/lsv/m/life-of-swami-vivekananda-his-eastern-and-western-disciples#:~:text=Margaret%20Noble
3,Whom did Holy Mother call her 'burden-bearer'?,শ্রীশ্রীমা কাকে তাঁর 'ভারী' বা 'ভারবাহক' বলেছিলেন?,श्रीशारदा देवी ने किसे अपना 'भार उठाने वाला' कहा था?,"A. Swami Saradananda (Sarat Maharaj) / স্বামী সারদানন্দ (শরৎ মহারাজ) / स्वामी सारदानंद (शरत महाराज)
B. Swami Brahmananda / স্বামী ব্রহ্মানন্দ / स्वामी ब्रह्मानंद
C. Swami Premananda / স্বামী প্রেমানন্দ / स्वामी प्रेमानंद
D. Swami Yogananda / স্বামী যোগানন্দ / स्वामी योगानंद",A — Swami Saradananda (Sarat Maharaj) / স্বামী সারদানন্দ / स्वामी सारदानंद,https://englishbooks.rkmm.org/s/lsd/m/holy-mother-sri-sarada-devi#:~:text=Sarat%20is%20my%20burden-bearer
3,"When devotees asked how to do japa while travelling by train or steamer, what did Holy Mother advise?",ট্রেন বা স্টিমারে ভ্রমণের সময় কীভাবে জপ করতে হবে জিজ্ঞাসা করলে শ্রীশ্রীমা কী উপদেশ দিয়েছিলেন?,रेल या स्टीमर से यात्रा करते समय जप कैसे करें—यह पूछने पर श्रीशारदा देवी ने क्या सलाह दी?,"A. Do it mentally / মনে মনে জপ করো / मन ही मन जप करो
B. Stop japa while travelling / ভ্রমণের সময় জপ বন্ধ রাখো / यात्रा में जप बंद रखो
C. Chant loudly / জোরে জপ করো / ऊँचे स्वर में जप करो
D. Count every repetition aloud / প্রতিটি জপ উচ্চস্বরে গুনে করো / हर जप को ऊँचे स्वर में गिनो",A — Do it mentally / মনে মনে জপ করো / मन ही मन जप करो,https://englishbooks.rkmm.org/s/tsd/m/the-gospel-of-the-holy-mother#:~:text=You%20should%20do%20it%20mentally
